,Status,Life expectancy,Adult Mortality,BMI,HIV/AIDS,Diphtheria,Polio,GDP,Income composition of resources,Schooling
185,Developing,75.5,79.0,56.8,0.1,98.0,98.0,1937.99549,0.81,14.2
601,Developing,63.0,262.0,19.6,0.1,69.0,69.0,648.38717,0.451,9.9
2919,Developing,45.5,69.0,17.3,18.4,84.0,85.0,377.135244,0.433,10.0
569,Developing,74.2,98.0,24.9,0.1,93.0,94.0,299.229676,0.646,11.0
1643,Developed,79.3,66.0,65.6,0.1,85.0,83.0,16671.5672,0.809,14.8
2241,Developing,73.2,99.0,61.6,0.1,96.0,96.0,16472.1665,0.773,12.7
2055,Developed,81.1,76.0,61.6,0.1,98.0,98.0,1922.681,0.841,16.6
97,Developing,74.6,12.0,54.1,0.1,93.0,95.0,3994.712355,0.739,12.7
12,Developing,56.7,295.0,13.4,0.1,41.0,41.0,198.7285436,0.373,6.5
1784,Developing,65.6,27.0,2.5,0.5,84.0,9.0,1186.423937,0.526,9.1
301,Developing,62.5,282.0,14.9,0.1,86.0,89.0,885.6382245,0.0,8.0
2489,Developing,58.9,373.0,32.3,7.1,9.0,84.0,3136.92511,0.541,11.4
768,Developing,57.4,325.0,28.2,4.1,46.0,46.0,768.176767,0.361,2.9
1217,Developing,66.3,188.0,15.4,0.1,75.0,72.0,78.92744,0.597,10.7
1609,Developing,75.9,81.0,2.3,0.1,98.0,98.0,5828.621374,0.641,11.8
2038,Developing,66.8,219.0,17.8,0.1,78.0,74.0,138.91977,0.618,11.4
241,Developed,89.0,76.0,63.4,0.1,99.0,99.0,47439.39684,0.89,16.3
452,Developing,72.6,122.0,28.2,0.3,9.0,9.0,367.429453,0.632,13.1
2431,Developed,81.6,66.0,62.9,0.1,96.0,96.0,32333.4661,0.858,16.3
2237,Developing,73.9,92.0,64.7,0.1,98.0,98.0,2377.74739,0.804,13.9
1737,Developing,75.3,115.0,59.1,0.1,94.0,93.0,6682.281158,0.787,15.0
248,Developed,79.5,86.0,6.9,0.1,98.0,99.0,4443.83131,0.871,15.8
1968,Developing,76.2,125.0,51.1,0.1,88.0,98.0,5348.518399,0.744,12.9
1749,Developing,74.1,96.0,57.5,0.1,99.0,99.0,3154.513484,0.64,12.1
2609,Developing,65.8,173.0,14.2,0.1,7.0,7.0,524.8959363,0.541,11.3
774,Developing,73.1,16.0,54.7,0.7,84.0,84.0,5759.643,0.703,13.0
2618,Developing,59.7,285.0,23.7,1.0,87.0,85.0,62.1318489,0.475,12.0
295,Developing,67.0,234.0,18.8,0.4,96.0,96.0,1795.18137,0.0,10.5
323,Developing,76.8,92.0,54.2,0.1,92.0,87.0,4716.673325,0.728,13.9
657,Developing,79.1,92.0,61.4,0.1,99.0,99.0,762.261218,0.773,13.9
100,Developing,73.9,128.0,51.9,0.1,95.0,96.0,3526.978143,0.729,12.7
800,Developing,73.4,158.0,44.3,0.3,89.0,9.0,193.741571,0.67,12.4
679,Developed,79.3,6.0,57.3,0.1,99.0,99.0,3215.8159,0.849,14.1
182,Developing,76.0,74.0,59.3,0.1,98.0,97.0,19356.67236,0.814,14.4
1768,Developing,54.3,47.0,2.9,9.6,76.0,73.0,526.5313517,0.397,9.5
2432,Developed,81.3,7.0,62.3,0.1,97.0,97.0,35578.73619,0.854,16.1
916,Developing,87.0,79.0,61.4,0.1,98.0,98.0,49638.7713,0.887,17.0
331,Developing,75.5,99.0,49.9,0.1,84.0,87.0,265.642661,0.0,12.3
1568,Developing,58.7,276.0,14.3,0.7,6.0,6.0,278.555732,0.456,8.2
1933,Developing,75.2,19.0,51.1,0.1,99.0,97.0,2275.3536,0.765,11.9
2249,Developing,66.7,188.0,24.3,0.3,89.0,85.0,98.7256145,0.491,9.5
2755,Developing,75.4,89.0,55.8,0.1,92.0,94.0,42372.22166,0.823,12.8
1034,Developing,79.4,8.0,61.8,0.1,99.0,99.0,28827.32636,0.855,16.4
127,Developed,79.5,78.0,58.2,0.1,9.0,9.0,2169.921,0.897,20.4
940,Developing,81.0,93.0,57.5,0.1,98.0,98.0,34879.72633,0.86,15.5
1717,Developing,68.4,225.0,51.5,0.1,99.0,99.0,4181.583321,0.729,14.8
2246,Developing,72.9,15.0,57.7,0.1,95.0,95.0,8655.311531,0.745,12.1
1260,Developed,78.7,78.0,55.1,0.1,9.0,9.0,5886.82789,0.889,17.5
1464,Developing,74.7,95.0,63.0,0.1,81.0,75.0,84.268878,0.746,13.2
347,Developing,48.1,652.0,32.2,28.4,96.0,96.0,4896.583835,0.58,11.8
2250,Developing,66.4,192.0,23.8,0.3,89.0,85.0,152.443873,0.483,9.1
2560,Developing,66.4,178.0,35.3,0.3,86.0,87.0,76.914128,0.592,10.8
1125,Developing,62.3,259.0,46.5,0.8,67.0,67.0,766.8437623,0.477,8.9
2850,Developing,73.0,157.0,46.6,0.1,67.0,67.0,2393.367265,0.579,10.7
2688,Developing,73.5,121.0,6.2,0.1,96.0,96.0,185.68975,0.705,12.5
595,Developing,62.5,237.0,22.6,0.8,86.0,85.0,788.632653,0.484,10.8
1758,Developing,77.0,137.0,49.1,0.1,98.0,98.0,213.755559,0.569,9.8
1793,Developing,62.8,235.0,14.6,0.4,79.0,84.0,143.77651,0.435,7.6
2397,Developing,58.9,413.0,47.9,8.5,69.0,69.0,849.954224,0.638,12.8
1884,Developing,56.0,272.0,16.5,1.3,67.0,68.0,354.8185998,0.298,4.0
40,Developing,73.8,129.0,5.8,0.1,95.0,95.0,3935.183343,0.69,12.3
1564,Developing,69.0,265.0,15.8,0.6,85.0,8.0,274.819723,0.473,8.9
454,Developing,72.4,124.0,26.8,0.4,99.0,99.0,3444.5566,0.621,12.4
1517,Developing,71.5,141.0,55.3,0.1,97.0,97.0,586.8364,0.747,15.9
421,Developing,56.8,33.0,16.1,1.9,96.0,94.0,231.1943256,0.361,9.3
906,Developing,68.6,29.0,56.6,0.1,99.0,99.0,478.82327,0.698,14.2
600,Developing,66.0,259.0,2.1,0.1,75.0,75.0,72.759313,0.459,10.0
516,Developing,49.8,443.0,2.7,5.8,47.0,47.0,494.336779,0.361,6.8
1904,Developing,48.5,47.0,18.8,5.4,33.0,43.0,648.815852,0.445,8.5
155,Developing,68.4,154.0,44.2,0.1,77.0,78.0,145.2163,0.668,11.0
222,Developing,73.4,125.0,43.8,0.7,84.0,93.0,11513.87189,0.75,14.0
1871,Developing,71.2,194.0,46.4,0.3,86.0,87.0,1175.116225,0.592,11.0
1297,Developed,79.4,77.0,55.0,0.1,87.0,97.0,251.2426,0.823,14.8
2023,Developing,68.5,211.0,25.4,0.1,6.0,79.0,2878.33837,0.679,11.7
1054,Developing,71.1,173.0,39.4,0.1,97.0,98.0,5773.73577,0.0,14.6
2482,Developing,69.3,199.0,51.8,0.6,84.0,84.0,527.92,0.678,11.5
2080,Developing,76.6,83.0,65.0,0.1,96.0,95.0,6256.55926,0.835,13.7
2717,Developing,60.0,339.0,17.2,4.6,78.0,82.0,647.74741,0.477,10.0
1051,Developing,71.7,167.0,41.1,0.1,91.0,91.0,6764.722867,0.0,15.1
1667,Developing,74.6,146.0,33.3,0.1,97.0,98.0,9252.11724,0.779,15.2
2715,Developing,61.5,38.0,18.1,3.2,78.0,82.0,719.172669,0.483,10.0
2840,Developing,67.4,185.0,35.3,0.2,99.0,99.0,456.734892,0.594,10.7
482,Developing,56.4,364.0,27.8,4.0,89.0,88.0,1365.34419,0.501,10.4
1131,Developing,61.1,28.0,39.6,3.3,6.0,61.0,55.47626,0.455,8.3
762,Developing,59.1,39.0,3.6,3.7,72.0,72.0,965.6693779,0.405,4.3
2324,Developed,79.7,71.0,29.9,0.1,95.0,95.0,2745.27136,0.82,12.7
74,Developing,74.6,147.0,41.4,0.1,99.0,98.0,11371.93895,0.0,0.0
2313,Developed,83.1,55.0,33.2,0.1,96.0,96.0,53629.73746,0.924,15.4
854,Developing,62.9,286.0,16.5,0.7,96.0,96.0,582.775532,0.405,5.0
2853,Developing,69.6,169.0,44.1,0.1,69.0,67.0,1787.94723,0.0,10.7
1681,Developing,71.5,177.0,25.8,0.1,92.0,93.0,3792.182152,0.673,12.2
1806,Developing,55.1,477.0,27.9,22.1,86.0,86.0,3573.146387,0.565,11.6
2348,Developed,82.0,81.0,58.2,0.1,96.0,96.0,22486.47167,0.877,16.8
291,Developing,68.7,223.0,21.9,0.6,97.0,97.0,2422.816,0.581,12.3
48,Developing,52.4,335.0,23.3,1.9,64.0,7.0,3695.793748,0.531,11.4
1980,Developing,61.8,286.0,44.9,1.1,67.0,72.0,1366.879112,0.485,9.6
125,Developed,79.9,73.0,59.6,0.1,92.0,92.0,281.81763,0.902,20.1
2578,Developing,73.0,168.0,23.6,0.5,98.0,98.0,3368.952576,0.686,12.4
2028,Developing,67.9,218.0,22.6,0.1,79.0,78.0,2129.499242,0.662,11.4
2740,Developing,67.0,278.0,56.4,0.9,96.0,95.0,1828.717626,0.707,14.5
2299,Developing,54.0,47.0,23.3,0.8,92.0,92.0,71.8186998,0.413,9.3
2909,Developing,59.2,349.0,21.7,5.6,78.0,7.0,1734.93612,0.554,12.3
507,Developing,80.0,77.0,6.6,0.1,91.0,91.0,31979.87195,0.881,15.8
570,Developing,73.9,99.0,24.1,0.1,87.0,87.0,1753.4178,0.634,10.6
523,Developing,45.7,512.0,17.9,12.0,51.0,45.0,313.21598,0.315,5.7
1040,Developing,78.7,83.0,58.0,0.1,91.0,9.0,12538.17883,0.801,14.2
607,Developing,59.5,272.0,17.3,0.1,7.0,7.0,375.8528566,0.0,8.2
2219,Developing,67.1,192.0,29.3,0.2,97.0,97.0,1619.532678,0.559,11.0
2297,Developing,51.0,413.0,24.4,0.5,86.0,86.0,587.538233,0.431,9.5
2074,Developing,77.8,72.0,67.0,0.1,92.0,93.0,88564.82298,0.837,13.4
688,Developed,78.1,7.0,52.8,0.1,97.0,97.0,14672.8826,0.798,12.5
2515,Developed,85.0,66.0,55.3,0.1,98.0,98.0,4385.35315,0.89,16.0
951,Developing,62.3,294.0,33.5,7.0,67.0,68.0,8754.113376,0.66,12.5
2346,Developed,87.0,76.0,59.5,0.1,95.0,95.0,242.67286,0.888,17.6
961,Developing,61.0,296.0,28.1,9.5,45.0,44.0,4116.46693,0.637,12.2
257,Developing,70.0,177.0,5.1,0.2,95.0,95.0,4852.223666,0.705,12.8
1175,Developed,81.8,53.0,58.9,0.1,96.0,96.0,41676.44527,0.894,18.4
1306,Developing,74.2,148.0,48.1,0.9,92.0,94.0,462.517913,0.714,12.5
2531,Developed,81.1,66.0,53.2,0.1,94.0,94.0,54797.54663,0.899,15.2
1187,Developing,68.0,184.0,18.1,0.2,85.0,84.0,1573.11889,0.607,11.6
2816,Developing,76.6,118.0,6.7,0.1,95.0,95.0,9415.17386,0.774,15.5
2269,Developing,74.6,127.0,57.7,0.1,94.0,94.0,6423.291783,0.757,13.5
2292,Developing,72.1,186.0,29.2,0.1,99.0,99.0,1176.65871,0.715,12.3
1679,Developing,71.5,174.0,26.9,0.1,99.0,99.0,4623.347642,0.687,12.6
1626,Developing,55.0,282.0,19.0,1.7,74.0,76.0,595.6368319,0.363,6.4
211,Developing,75.1,12.0,52.2,0.1,87.0,88.0,15384.8749,0.785,15.3
1466,Developing,74.4,98.0,61.9,0.1,8.0,75.0,614.271115,0.731,12.9
596,Developing,62.2,241.0,22.1,0.2,83.0,85.0,829.7586885,0.479,10.6
1573,Developing,55.3,42.0,18.4,8.3,96.0,95.0,374.51882,0.454,10.7
73,Developing,74.8,145.0,42.0,0.1,99.0,99.0,12724.39377,0.773,14.7
1128,Developing,62.5,251.0,43.0,2.0,65.0,65.0,668.297646,0.466,8.5
1731,Developing,62.8,274.0,38.5,0.1,94.0,94.0,474.2133361,0.582,8.9
742,Developed,79.2,84.0,57.0,0.1,9.0,9.0,5841.41122,0.906,16.8
2931,Developing,45.4,7.0,27.9,26.8,7.0,71.0,414.796232,0.408,9.5
1899,Developing,51.6,376.0,21.6,4.9,63.0,66.0,197.661422,0.487,9.3
108,Developing,72.7,134.0,48.1,0.1,94.0,96.0,93.1661567,0.657,10.8
658,Developing,79.0,93.0,6.7,0.1,99.0,99.0,75.5199,0.772,14.0
131,Developed,88.0,7.0,56.1,0.1,92.0,92.0,48333.57273,0.884,15.7
1621,Developing,57.2,27.0,21.9,1.5,66.0,72.0,777.3476868,0.411,7.7
1757,Developing,71.0,133.0,49.9,0.1,97.0,97.0,2191.478567,0.575,10.0
791,Developing,75.0,134.0,5.7,0.1,91.0,88.0,4657.32361,0.703,13.1
2513,Developed,89.0,63.0,56.1,0.1,98.0,98.0,53324.37937,0.895,15.8
2057,Developed,86.0,79.0,6.2,0.1,98.0,98.0,21618.73534,0.827,16.3
1273,Developing,81.0,65.0,62.1,0.1,94.0,94.0,29657.4421,0.877,15.8
87,Developing,75.4,126.0,58.6,0.1,93.0,94.0,8953.359275,0.792,16.3
2003,Developing,71.7,166.0,41.3,0.1,86.0,86.0,1174.779347,0.642,12.7
1014,Developing,61.2,263.0,26.1,1.3,91.0,91.0,1574.978653,0.554,10.9
1091,Developing,58.4,282.0,25.6,3.4,87.0,87.0,642.6256154,0.419,9.2
829,Developing,70.0,215.0,48.6,0.3,9.0,9.0,2632.79942,0.636,12.4
1488,Developing,47.8,586.0,25.4,31.2,78.0,78.0,437.819184,0.443,10.3
865,Developing,45.3,593.0,12.6,1.9,81.0,82.0,28.1969487,0.0,3.9
571,Developing,73.5,11.0,23.4,0.1,87.0,87.0,158.668462,0.622,10.2
368,Developing,77.7,78.0,41.2,0.1,99.0,99.0,3967.8951,0.864,14.9
283,Developing,56.1,285.0,2.1,2.1,72.0,74.0,583.493514,0.423,8.1
409,Developing,54.3,32.0,14.6,2.0,86.0,94.0,422.6332374,0.325,4.7
1275,Developing,84.0,68.0,61.1,0.1,95.0,94.0,2195.1769,0.87,15.7
2155,Developing,63.8,247.0,18.9,1.3,97.0,93.0,617.317648,0.464,10.2
2374,Developing,66.5,22.0,39.6,0.1,78.0,78.0,784.9562874,0.446,7.3
2529,Developed,81.7,63.0,54.1,0.1,94.0,94.0,63223.46778,0.911,15.3
332,Developing,75.2,12.0,49.4,0.1,87.0,87.0,2214.732246,0.0,12.1
925,Developing,78.7,12.0,57.6,0.1,98.0,96.0,37636.11173,0.869,18.3
1670,Developing,73.9,154.0,31.8,0.1,98.0,98.0,9291.227619,0.756,14.3
587,Developing,72.8,148.0,49.8,0.1,89.0,89.0,274.249442,0.658,11.3
1083,Developing,55.6,317.0,19.0,2.6,57.0,53.0,296.68382,0.356,7.1
11,Developing,57.0,293.0,13.8,0.1,5.0,5.0,219.1413528,0.381,6.8
533,Developing,51.2,364.0,17.1,4.1,39.0,43.0,896.5697341,0.36,6.7
2822,Developing,75.4,121.0,57.0,0.1,91.0,91.0,3622.52284,0.747,15.0
1544,Developed,83.0,76.0,58.8,0.1,99.0,96.0,13198.6693,0.888,13.5
448,Developing,73.3,114.0,31.3,0.2,93.0,93.0,2954.119467,0.646,13.5
1254,Developed,84.0,7.0,59.7,0.1,95.0,95.0,52567.52568,0.909,18.5
1774,Developing,58.0,434.0,18.5,16.2,8.0,71.0,369.1545359,0.341,7.3
2937,Developing,46.0,665.0,25.5,43.5,78.0,78.0,547.3588785,0.434,9.8
2478,Developing,73.0,19.0,54.8,0.5,96.0,96.0,833.31332,0.7,12.3
1355,Developing,65.0,295.0,46.8,0.1,99.0,99.0,5291.57565,0.747,14.3
249,Developed,79.4,85.0,6.6,0.1,98.0,99.0,38852.3613,0.865,15.7
2567,Developing,64.0,194.0,31.6,0.3,85.0,84.0,17.8159721,0.535,9.7
531,Developing,51.8,367.0,17.9,3.6,4.0,51.0,973.472574,0.381,7.3
918,Developing,83.0,86.0,6.6,0.1,99.0,99.0,579.72415,0.878,16.9
2672,Developing,74.7,12.0,54.7,0.1,99.0,99.0,431.9326,0.701,14.3
2603,Developing,67.7,158.0,16.6,0.1,82.0,82.0,117.765674,0.62,12.5
1286,Developed,82.0,6.0,61.5,0.1,96.0,96.0,38334.68477,0.872,16.4
2067,Developed,77.3,15.0,52.5,0.1,99.0,96.0,15772.7334,0.789,15.8
190,Developing,74.7,9.0,54.8,0.1,99.0,99.0,12868.211,0.794,13.3
796,Developing,74.2,151.0,47.2,0.3,92.0,89.0,321.942547,0.688,12.8
1159,Developed,74.5,156.0,61.7,0.1,99.0,99.0,1325.53379,0.817,15.3
575,Developing,71.7,115.0,2.5,0.1,85.0,86.0,959.372181,0.583,9.5
2490,Developing,58.4,382.0,31.8,7.3,98.0,98.0,3464.35169,0.541,11.4
361,Developing,73.0,161.0,48.6,0.1,99.0,99.0,586.145975,0.698,13.8
766,Developing,57.9,322.0,29.0,4.3,62.0,62.0,792.15412,0.372,3.3
669,Developing,77.4,18.0,52.1,0.1,72.0,98.0,3192.669378,0.694,12.9
2646,Developing,71.9,155.0,67.0,0.1,84.0,85.0,1842.44421,0.679,13.5
586,Developing,73.1,144.0,5.5,0.1,93.0,93.0,3386.256,0.658,11.1
1170,Developed,82.7,49.0,61.0,0.1,92.0,92.0,5734.4436,0.919,19.0
387,Developed,73.9,139.0,63.9,0.1,95.0,95.0,7378.25539,0.778,14.3
1808,Developing,55.0,471.0,26.5,24.7,79.0,82.0,2482.36862,0.554,11.7
1053,Developing,73.0,187.0,39.9,0.1,83.0,84.0,5836.17763,0.0,14.8
2691,Developing,72.4,129.0,57.6,0.1,9.0,9.0,7384.354661,0.681,11.9
1516,Developing,71.9,138.0,56.0,0.1,98.0,98.0,8171.361651,0.748,15.7
782,Developing,73.0,22.0,46.1,2.3,79.0,65.0,2372.628827,0.665,12.4
2247,Developing,72.8,17.0,56.9,0.1,97.0,97.0,8643.4944,0.742,12.0
2393,Developing,62.9,328.0,51.1,3.6,75.0,75.0,5769.77258,0.665,13.0
1867,Developing,73.2,163.0,49.4,0.2,98.0,99.0,1464.497754,0.613,11.3
995,Developed,89.0,69.0,61.9,0.1,95.0,94.0,4792.65288,0.92,17.0
2698,Developing,66.0,217.0,47.7,0.1,98.0,98.0,7962.365824,0.683,10.8
671,Developing,76.7,115.0,5.4,0.1,98.0,99.0,2832.188893,0.686,12.3
1318,Developed,82.5,64.0,27.4,0.1,97.0,96.0,48167.99727,0.884,15.1
293,Developing,67.9,228.0,2.3,0.5,91.0,92.0,2178.921383,0.0,11.4
430,Developing,51.3,385.0,13.0,5.3,81.0,72.0,133.7427689,0.268,4.5
1888,Developing,52.9,279.0,15.0,1.6,43.0,45.0,232.5661574,0.27,3.1
109,Developing,72.6,134.0,47.8,0.1,94.0,96.0,783.261699,0.645,10.8
838,Developing,56.2,344.0,22.6,7.7,41.0,39.0,21451.88617,0.58,9.2
1256,Developed,79.7,77.0,58.2,0.1,94.0,94.0,51983.78892,0.909,17.9
844,Developing,54.4,337.0,2.2,4.9,39.0,5.0,185.63334,0.563,8.7
2728,Developing,47.7,539.0,13.3,10.8,55.0,56.0,234.984775,0.396,10.8
1066,Developing,75.0,192.0,45.2,0.4,85.0,85.0,2489.955836,0.578,10.1
2559,Developing,66.7,174.0,35.9,0.2,93.0,93.0,666.3458569,0.601,11.1
2136,Developing,73.0,225.0,59.9,0.1,97.0,97.0,14125.961,0.803,14.9
2260,Developing,59.7,247.0,19.1,0.7,87.0,87.0,733.581811,0.408,6.2
894,Developing,54.0,363.0,13.2,4.4,37.0,55.0,118.8734466,0.306,5.2
1905,Developing,48.1,41.0,18.3,5.4,29.0,42.0,512.65719,0.0,8.1
2727,Developing,48.8,523.0,13.6,10.0,57.0,57.0,24.2423229,0.404,11.0
181,Developing,76.1,73.0,6.1,0.1,99.0,99.0,2722.1389,0.81,14.4
2124,Developed,73.4,153.0,56.9,0.1,94.0,94.0,8297.483621,0.797,15.8
1716,Developing,68.8,222.0,52.7,0.1,99.0,99.0,3944.1839,0.733,14.8
415,Developing,51.0,348.0,12.2,4.0,45.0,45.0,226.4759814,0.0,3.4
2512,Developed,81.1,62.0,56.5,0.1,98.0,98.0,55746.84238,0.897,15.7
922,Developing,79.3,96.0,59.0,0.1,99.0,97.0,48288.5491,0.873,17.2
1908,Developing,47.1,45.0,16.9,4.9,29.0,31.0,379.1193264,0.0,7.6
19,Developing,76.9,86.0,55.8,0.1,99.0,99.0,4247.61438,0.752,14.2
226,Developing,71.7,23.0,61.1,0.1,98.0,98.0,7978.825443,0.796,15.7
1873,Developing,76.0,198.0,44.9,0.3,86.0,86.0,115.565314,0.583,11.0
1858,Developed,78.7,83.0,6.3,0.1,9.0,84.0,16874.31232,0.873,17.5
2932,Developing,44.6,717.0,27.5,30.3,68.0,69.0,444.76575,0.406,9.3
2657,Developing,69.7,187.0,39.3,0.7,88.0,9.0,1653.1844,0.76,12.4
1612,Developing,74.3,93.0,18.0,0.1,98.0,98.0,3488.493769,0.625,12.1
1604,Developing,77.9,64.0,25.1,0.1,99.0,99.0,7112.33575,0.683,12.4
578,Developing,74.4,145.0,56.4,0.1,91.0,91.0,83.5863,0.712,13.3
2671,Developing,74.7,12.0,55.6,0.1,99.0,99.0,4129.977335,0.706,14.4
91,Developing,74.7,13.0,56.3,0.1,98.0,91.0,4251.574348,0.775,16.3
1732,Developing,76.1,16.0,61.8,0.1,89.0,89.0,6461.192554,0.804,15.1
2005,Developing,71.2,17.0,39.8,0.1,89.0,9.0,1417.26582,0.624,11.8
1843,Developed,78.3,82.0,52.6,0.1,97.0,97.0,26584.12169,0.878,16.7
2166,Developing,48.3,426.0,13.2,8.5,9.0,9.0,216.172747,0.318,6.6
2912,Developing,57.4,368.0,2.2,9.1,94.0,93.0,1139.11233,0.518,11.6
2527,Developed,82.1,6.0,55.0,0.1,95.0,96.0,69672.471,0.916,15.3
1844,Developed,78.1,84.0,51.8,0.1,97.0,97.0,25921.12794,0.873,16.5
262,Developing,69.5,184.0,46.3,0.3,97.0,98.0,4258.788611,0.7,12.7
290,Developing,69.1,219.0,22.7,0.6,97.0,97.0,235.882889,0.589,12.6
2448,Developing,72.3,172.0,18.5,0.1,98.0,98.0,254.489192,0.731,13.3
2445,Developing,74.5,141.0,2.5,0.1,99.0,99.0,322.992615,0.746,13.6
2371,Developing,67.4,24.0,42.1,0.1,89.0,9.0,88.874858,0.465,8.3
144,Developing,72.7,118.0,52.5,0.1,96.0,98.0,55.31382,0.758,12.7
2280,Developing,72.6,141.0,51.2,0.1,95.0,98.0,87.1365252,0.702,13.0
1870,Developing,73.0,17.0,47.1,0.3,88.0,88.0,124.992617,0.597,11.0
667,Developing,77.2,19.0,53.8,0.1,89.0,99.0,3779.577,0.719,14.2
1827,Developing,63.2,23.0,11.9,0.1,72.0,73.0,248.6183539,0.446,9.0
407,Developing,56.1,288.0,15.6,1.5,93.0,92.0,569.7612784,0.345,5.4
1346,Developing,72.0,198.0,53.1,0.1,98.0,98.0,159.9817,0.793,15.0
1118,Developing,65.3,237.0,37.8,2.1,9.0,91.0,986.7958173,0.611,11.1
360,Developing,73.3,159.0,49.4,0.1,99.0,99.0,7313.557962,0.7,13.5
2229,Developing,63.4,225.0,22.2,1.6,94.0,94.0,649.342153,0.504,9.7
518,Developing,48.6,453.0,19.8,7.3,42.0,45.0,449.961839,0.345,6.4
1457,Developed,71.0,218.0,55.4,0.1,96.0,96.0,3352.731296,0.716,13.7
649,Developed,75.8,114.0,58.7,0.1,96.0,96.0,13546.69872,0.793,14.3
2718,Developing,59.3,347.0,16.7,6.8,82.0,82.0,584.3962137,0.477,10.7
69,Developing,75.6,138.0,44.4,0.1,98.0,99.0,12126.87614,0.783,14.1
1353,Developing,66.6,258.0,47.9,0.1,99.0,99.0,8513.564645,0.758,14.6
450,Developing,72.8,12.0,29.7,0.2,93.0,93.0,3558.796314,0.643,13.6
2370,Developing,67.6,2.0,43.0,0.1,99.0,99.0,948.6592511,0.47,8.4
1519,Developing,71.1,146.0,54.0,0.1,93.0,93.0,375.442638,0.736,15.8
2748,Developing,76.7,78.0,6.5,0.1,98.0,98.0,4335.64268,0.829,13.3
1285,Developed,82.0,6.0,62.1,0.1,97.0,96.0,34814.12436,0.877,16.6
2375,Developing,66.2,227.0,38.7,0.1,84.0,88.0,944.81684,0.442,6.6
1960,Developing,77.6,119.0,57.1,0.1,8.0,8.0,12593.7374,0.78,13.0
52,Developing,51.0,361.0,21.0,2.5,71.0,73.0,4299.12889,0.495,9.4
639,Developing,77.5,1.0,46.4,0.1,91.0,92.0,3981.52847,0.708,11.7
412,Developing,51.6,332.0,13.3,2.9,79.0,83.0,332.344351,0.0,3.8
1977,Developing,62.4,281.0,47.2,0.8,79.0,8.0,229.95364,0.506,10.0
1934,Developing,74.9,113.0,5.6,0.1,99.0,97.0,1585.13226,0.753,11.5
2031,Developing,67.5,216.0,21.1,0.1,87.0,87.0,1672.685433,0.648,11.4
209,Developing,75.4,1.0,53.7,0.1,94.0,95.0,15359.66971,0.793,15.3
10,Developing,57.3,291.0,14.2,0.1,58.0,58.0,25.2941299,0.396,7.9
1613,Developing,73.4,16.0,17.3,0.1,96.0,96.0,3853.33348,0.617,12.2
63,Developing,45.3,48.0,15.4,2.0,28.0,3.0,555.2969419,0.382,4.6
683,Developed,78.7,65.0,55.3,0.1,98.0,98.0,25324.48666,0.826,13.5
645,Developed,77.0,14.0,61.3,0.1,96.0,96.0,14539.18421,0.808,14.5
2474,Developing,71.4,178.0,57.7,0.4,85.0,85.0,9564.46383,0.722,12.7
1130,Developing,61.8,266.0,4.7,2.7,63.0,62.0,615.8198192,0.458,8.4
2549,Developing,73.0,134.0,46.0,0.1,83.0,85.0,1253.39143,0.599,10.3
597,Developing,61.8,246.0,21.6,0.1,74.0,82.0,769.1742883,0.476,10.5
498,Developing,81.8,67.0,65.8,0.1,91.0,91.0,52413.72116,0.909,15.9
656,Developed,74.7,127.0,54.7,0.1,93.0,94.0,4919.62869,0.739,12.2
1756,Developing,71.4,128.0,5.8,0.1,95.0,95.0,2494.353552,0.581,10.0
946,Developing,66.0,229.0,36.3,2.7,8.0,79.0,7388.984144,0.694,12.6
2161,Developing,55.3,37.0,15.4,7.1,95.0,95.0,287.931877,0.388,8.8
288,Developing,69.8,211.0,24.5,0.5,99.0,98.0,2613.645177,0.604,12.5
524,Developing,45.7,51.0,17.5,12.8,47.0,44.0,286.25819,0.316,5.6
1914,Developed,81.1,67.0,59.4,0.1,94.0,94.0,1574.9861,0.939,17.6
558,Developing,77.3,16.0,54.7,0.1,97.0,96.0,4595.666327,0.761,13.7
2497,Developing,50.0,51.0,28.5,40.7,87.0,88.0,347.48798,0.508,10.5
2528,Developed,82.0,6.0,54.6,0.1,95.0,96.0,72119.5687,0.914,15.3
662,Developing,78.0,98.0,57.7,0.1,96.0,99.0,5676.14143,0.784,17.6
603,Developing,59.8,269.0,18.8,0.1,76.0,73.0,616.4197236,0.0,9.5
1242,Developing,65.9,227.0,53.8,0.1,57.0,74.0,3129.224922,0.636,10.2
1364,Developing,62.6,258.0,2.7,3.0,87.0,94.0,1229.114798,0.541,11.1
1825,Developing,64.3,22.0,12.9,0.1,78.0,76.0,253.72412,0.457,9.2
1065,Developing,79.0,19.0,45.9,0.4,95.0,96.0,2794.22189,0.589,10.4
1289,Developed,81.5,61.0,59.9,0.1,96.0,96.0,464.18465,0.866,16.3
631,Developing,79.2,96.0,54.4,0.1,86.0,8.0,689.396224,0.747,13.1
1547,Developed,79.4,85.0,57.5,0.1,99.0,99.0,89739.7117,0.88,13.5
2920,Developing,44.6,611.0,17.1,18.6,85.0,86.0,378.2736238,0.424,9.8
2502,Developing,46.4,587.0,26.7,49.9,85.0,87.0,1324.996228,0.502,9.2
937,Developing,89.0,88.0,59.1,0.1,98.0,98.0,45413.6571,0.877,16.1
286,Developing,55.5,281.0,18.8,2.1,76.0,77.0,378.73654,0.395,6.6
